date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:48:57	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225e6d4198-239b%22	https://thibault-bat.github.io/robots.txt		(from )
13:48:57	3329/3329	---M-Z	200	added ('OK')	text/html	etag:W/%22600d4e65-d01%22	https://thibault-bat.github.io/nitro/nitro/html/	C:/Mes%20Sites%20Web/10$%20par%20jour/thibault-bat.github.io/nitro/nitro/html/index.html	(from )
13:48:57	5144/5144	---M--	200	added ('OK')	image/png	etag:%22600d4e65-1418%22	https://thibault-bat.github.io/nitro/nitro/assets/favicon.png	C:/Mes%20Sites%20Web/10$%20par%20jour/thibault-bat.github.io/nitro/nitro/assets/favicon.png	(from https://thibault-bat.github.io/nitro/nitro/html/)
13:48:57	43679/43679	---M-Z	200	added ('OK')	text/css	etag:W/%22600d4e65-aa9f%22	https://thibault-bat.github.io/nitro/nitro/assets/css/maicons.css	C:/Mes%20Sites%20Web/10$%20par%20jour/thibault-bat.github.io/nitro/nitro/assets/css/maicons.css	(from https://thibault-bat.github.io/nitro/nitro/html/)
13:48:57	77758/77758	---M-Z	200	added ('OK')	text/css	etag:W/%22600d4e65-12fbe%22	https://thibault-bat.github.io/nitro/nitro/assets/vendor/animate/animate.css	C:/Mes%20Sites%20Web/10$%20par%20jour/thibault-bat.github.io/nitro/nitro/assets/vendor/animate/animate.css	(from https://thibault-bat.github.io/nitro/nitro/html/)
13:48:58	3351/3351	---M-Z	200	added ('OK')	text/css	etag:W/%22600d4e65-d17%22	https://thibault-bat.github.io/nitro/nitro/assets/vendor/owl-carousel/css/owl.carousel.min.css	C:/Mes%20Sites%20Web/10$%20par%20jour/thibault-bat.github.io/nitro/nitro/assets/vendor/owl-carousel/css/owl.carousel.min.css	(from https://thibault-bat.github.io/nitro/nitro/html/)
13:48:58	179016/179016	---M-Z	200	added ('OK')	text/css	etag:W/%22600d4e65-2bb48%22	https://thibault-bat.github.io/nitro/nitro/assets/css/bootstrap.css	C:/Mes%20Sites%20Web/10$%20par%20jour/thibault-bat.github.io/nitro/nitro/assets/css/bootstrap.css	(from https://thibault-bat.github.io/nitro/nitro/html/)
13:48:58	49723/49723	---M-Z	200	added ('OK')	text/css	etag:W/%22600d4e65-c23b%22	https://thibault-bat.github.io/nitro/nitro/assets/css/mobster.css	C:/Mes%20Sites%20Web/10$%20par%20jour/thibault-bat.github.io/nitro/nitro/assets/css/mobster.css	(from https://thibault-bat.github.io/nitro/nitro/html/)
13:48:59	233352/233352	---M--	200	added ('OK')	image/png	etag:%22600d4e65-38f88%22	https://thibault-bat.github.io/nitro/nitro/assets/img/app_preview_1.png	C:/Mes%20Sites%20Web/10$%20par%20jour/thibault-bat.github.io/nitro/nitro/assets/img/app_preview_1.png	(from https://thibault-bat.github.io/nitro/nitro/html/)
13:48:59	19423/19423	---M--	200	added ('OK')	image/png	etag:%22600d4e65-4bdf%22	https://thibault-bat.github.io/nitro/nitro/assets/img/clients/alter_sport.png	C:/Mes%20Sites%20Web/10$%20par%20jour/thibault-bat.github.io/nitro/nitro/assets/img/clients/alter_sport.png	(from https://thibault-bat.github.io/nitro/nitro/html/)
13:48:59	15165/15165	---M--	200	added ('OK')	image/png	etag:%22600d4e65-3b3d%22	https://thibault-bat.github.io/nitro/nitro/assets/img/clients/cleaning_service.png	C:/Mes%20Sites%20Web/10$%20par%20jour/thibault-bat.github.io/nitro/nitro/assets/img/clients/cleaning_service.png	(from https://thibault-bat.github.io/nitro/nitro/html/)
13:48:59	10637/10637	---M--	200	added ('OK')	image/png	etag:%22600d4e65-298d%22	https://thibault-bat.github.io/nitro/nitro/assets/img/clients/creative_photo.png	C:/Mes%20Sites%20Web/10$%20par%20jour/thibault-bat.github.io/nitro/nitro/assets/img/clients/creative_photo.png	(from https://thibault-bat.github.io/nitro/nitro/html/)
13:48:59	3915/3915	---M--	200	added ('OK')	image/png	etag:%22600d4e65-f4b%22	https://thibault-bat.github.io/nitro/nitro/assets/img/clients/global_tv.png	C:/Mes%20Sites%20Web/10$%20par%20jour/thibault-bat.github.io/nitro/nitro/assets/img/clients/global_tv.png	(from https://thibault-bat.github.io/nitro/nitro/html/)
13:48:59	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:W/%22600d4e65-15d84%22	https://thibault-bat.github.io/nitro/nitro/assets/js/jquery-3.5.1.min.js	C:/Mes%20Sites%20Web/10$%20par%20jour/thibault-bat.github.io/nitro/nitro/assets/js/jquery-3.5.1.min.js	(from https://thibault-bat.github.io/nitro/nitro/html/)
13:49:00	80698/80698	---M-Z	200	added ('OK')	application/javascript	etag:W/%22600d4e65-13b3a%22	https://thibault-bat.github.io/nitro/nitro/assets/js/bootstrap.bundle.min.js	C:/Mes%20Sites%20Web/10$%20par%20jour/thibault-bat.github.io/nitro/nitro/assets/js/bootstrap.bundle.min.js	(from https://thibault-bat.github.io/nitro/nitro/html/)
13:49:00	44342/44342	---M-Z	200	added ('OK')	application/javascript	etag:W/%22600d4e65-ad36%22	https://thibault-bat.github.io/nitro/nitro/assets/vendor/owl-carousel/js/owl.carousel.min.js	C:/Mes%20Sites%20Web/10$%20par%20jour/thibault-bat.github.io/nitro/nitro/assets/vendor/owl-carousel/js/owl.carousel.min.js	(from https://thibault-bat.github.io/nitro/nitro/html/)
13:49:00	8155/8155	---M-Z	200	added ('OK')	application/javascript	etag:W/%22600d4e65-1fdb%22	https://thibault-bat.github.io/nitro/nitro/assets/vendor/wow/wow.min.js	C:/Mes%20Sites%20Web/10$%20par%20jour/thibault-bat.github.io/nitro/nitro/assets/vendor/wow/wow.min.js	(from https://thibault-bat.github.io/nitro/nitro/html/)
13:49:00	198/198	---M-Z	200	added ('OK')	application/javascript	etag:W/%22600d4e65-c6%22	https://thibault-bat.github.io/nitro/nitro/assets/js/mobster.js	C:/Mes%20Sites%20Web/10$%20par%20jour/thibault-bat.github.io/nitro/nitro/assets/js/mobster.js	(from https://thibault-bat.github.io/nitro/nitro/html/)
13:49:01	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225ececa4d-247b%22	https://thibault-bat.github.io/nitro/nitro/assets/vendor/owl-carousel/css/owl.video.play.png	C:/Mes%20Sites%20Web/10$%20par%20jour/thibault-bat.github.io/nitro/nitro/assets/vendor/owl-carousel/css/owl.video.play.png	(from https://thibault-bat.github.io/nitro/nitro/assets/vendor/owl-carousel/css/owl.carousel.min.css)
